147;Boone Jenner;RW;38;0.894
148;David Desharnais;C;44;3.5
149;Brandon Dubinsky;C;35;5.85
150;Tyler Ennis;C;48;4.6
151;Mark Giordano;D;53;4.02
1;Carey Price;G;84;6.5
2;Henrik Lundqvist;G;88;8.5
3;Braden Holtby;G;82;6.1
4;Pekka Rinne;G;84;7
5;Devan Dubnyk;G;80;4.33
6;Sergei Bobrovsky;G;78;7.425
7;Marc-Andre Fleury;G;80;5.75
8;Ben Bishop;G;80;5.95
9;Semyon Varlamov;G;66;5.9
10;Jaroslav Halak;G;72;4.5
11;Jonathan Quick;G;66;5.8
12;Cory Schneider;G;54;6
13;Tuukka Rask;G;64;7
14;Steve Mason;G;64;4.1
15;Jake Allen;G;66;2.35
16;Corey Crawford;G;68;6
17;Roberto Luongo;G;60;4.533
18;Martin Jones;G;48;3
19;Ryan Miller;G;60;6
20;Antti Niemi;G;48;4.5
21;Petr Mrazek;G;50;0.738
22;Craig Anderson;G;46;4.2
23;Jonas Hiller;G;48;4.5
24;Frederik Andersen;G;52;1.15
25;Cam Talbot;G;44;1.45
26;Robin Lehner;G;44;2.225
27;Brian Elliott;G;34;2.5
28;Kari Lehtonen;G;38;5.9
29;Jonathan Bernier;G;42;4.15
30;John Gibson;G;48;0.925
31;Eddie Lack;G;32;1.15
32;Ondrej Pavelec;G;42;3.9
33;Andrew Hammond;G;32;1.35
34;Scott Darling;G;28;0.588
35;Jimmy Howard;G;36;5.292
36;Cam Ward;G;30;6.3
37;Mike Smith;G;40;5.667
38;Andrei Vasilevskiy;G;26;1.475
39;Karri Ramo;G;32;3.8
40;Michael Hutchinson;G;36;0.575
